id,category,product_subcategory,product,quantity,price,purchase_date
90,Food - Meat,Prepared Meals,Italian Sausage and Peppers,4,8.99,10/21/2023
91,Storage,Storage Devices,Portable SSD,8,129.99,4/24/2024
92,Audio,Audio Accessories,Wireless Music Receiver,6,19.99,1/6/2025
93,Kitchen,Coffee Equipment,Cold Brew Coffee Maker,7,34.99,10/13/2024
94,Outdoor,Outdoor Furniture,Camping Chair,5,29.99,8/23/2024
95,Home,Decorative Wall Art & Accessories,Inspirational Wall Art,4,24.99,2/2/2024
96,Home,Decorative Wall Art & Accessories,Wall Calendar,4,17.99,7/24/2025
97,Food - Fruits,Apples,Organic Honeycrisp Apples,5,1.99,10/31/2024
98,Food - Fruits,Berries,Organic Blueberries,4,5.49,10/6/2025
99,Fitness,Yoga Equipment,Yoga Wheel,7,34.99,8/9/2025
100,Food - Soups,Specialty Soups,Spicy Thai Coconut Soup,7,3.99,10/17/2024
101,Food - Canned Goods,Canned Fruits,Peach Halves (canned),3,2.49,3/27/2025
102,Food - Frozen Foods,Frozen Pizza,Barbecue Chicken Pizza,6,8.99,3/15/2025
103,Kitchen,Cooking Appliances,Electric Griddle with Removable Plates,5,59.99,7/22/2025
104,Fitness,Recovery Tools,Foam Muscle Roller,4,24.99,10/23/2023
105,Outdoor,Outdoor Accessories,Hydration Backpack,4,39.99,9/4/2024
106,Home,Home Organization,Shoe Organizer,5,39.99,4/29/2024
107,Travel,Travel Accessories,Travel Sewing Kit,3,12.99,5/21/2025
108,Food - Snacks,Sweet Snacks,Chocolate Dipped Fruit,4,5.99,5/4/2024
109,Wearable Tech,Smartwatches,Fitness Tracker Watch,7,79.99,9/17/2025
110,Food - Beverages,Herbal Tea,Honey Ginger Tea,7,2.99,8/7/2025
111,Kitchen,Kitchen Storage & Organization,Bamboo Utensil Holder,7,14.99,9/15/2024
112,Home,Bedding & Linens,Bamboo Memory Foam Pillow,6,34.99,8/26/2024
113,Kitchen,Small Appliances,Electric Fondue Pot,10,39.99,7/31/2024
114,Home,Home Organization,Rechargeable Battery Organizer,8,17.99,11/18/2023
115,Food - Frozen Meals,Frozen Asian Meals,Asian Stir-Fry Kit,8,5.49,1/9/2025
116,Food - Cereal,Oatmeal,Apple Cinnamon Instant Oatmeal,10,3.49,1/6/2025
117,Electronics,Portable Projectors,Mini Projector for Smartphones,4,99.99,5/27/2025
118,Garden,Gardening Accessories,Set of Gardening Gloves with Claws,5,15.99,6/22/2024
119,Health,Sleep & Relaxation,Weighted Blanket,3,79.99,9/22/2025
120,Outdoor,Camping Equipment,Portable Air Pump,7,19.99,7/27/2024
121,Electronics,Portable Projectors,Smartphone Projector,6,29.99,9/8/2024
122,Pets,Pet Accessories,Pet Food Storage Container,4,24.99,5/30/2024
123,Food - Baking,Mixes,Chocolate Chip Cookie Mix,7,2.49,12/15/2023
124,Food - Grains,Whole Grains,Oats,5,3.29,5/28/2024
125,Food - Dairy,Dairy Spreads,Cream Cheese,8,2.69,9/7/2025
126,Food - Prepared Foods,Vegetarian Meals,Spicy Vegetable Sushi Rolls,7,8.49,4/15/2024
127,Clothing - Shirts,Casual Shirts,Oversized Denim Shirt,4,49.99,1/23/2025
128,Smart Home,Home Accessories,Wireless Smart Plug,9,19.99,1/8/2024
129,Home,Bedding & Linens,Body Pillow Case,9,14.99,3/23/2025
130,Outdoor,Grilling Accessories,Portable Charcoal Grill,6,89.99,8/25/2024
131,Food - Condiments,Olive Products,Mediterranean Olives,10,6.49,6/14/2024
132,Toys,Miniature Sports Games,Mini Air Hockey Table,9,39.99,4/17/2024
133,Photography,Tripods & Accessories,Smartphone Tripod,7,29.99,12/15/2023
134,Food - Beverages,Coffee,Cold Brew Coffee Concentrate,10,7.99,1/21/2024
135,Food - Meat,Marinated Poultry,Lemon Dill Chicken Skewers,10,9.99,2/23/2025
136,Food - Vegetables,Pasta Alternatives,Zucchini Noodle Pasta,5,3.99,11/10/2023
137,Electronics,Audio & Video Accessories,Wireless HDMI Transmitter,5,79.99,4/22/2024
138,Home,Decorative Wall Art & Accessories,Canvas Wall Art,5,39.99,6/5/2025
139,Food - Canned Soups,Soups,Spiced Pumpkin Soup,3,3.99,11/25/2024
140,Kitchen,Food Preparation Tools,Digital Food Scale,5,22.99,1/8/2024
141,Food - Cereals,Granola,Raisin Cinnamon Granola,3,3.79,8/22/2024
142,Garden,Planters,Self-Watering Planters,9,49.99,1/14/2025
143,Food - Cheese,Specialty Cheeses,Buffalo Stilton Cheese,8,8.99,10/29/2024
144,Home,Lighting & Lamps,LED Strip Light Kit,10,39.99,4/11/2025
145,Food - Vegetables,Vegetable Dishes,Grilled Vegetable Medley,9,4.49,1/19/2025
146,Clothing - Dresses,Casual Dresses,Summer Tank Dress,3,39.99,3/15/2024
147,Fitness,Hydration Gear,Smart Water Bottle,5,39.99,12/19/2023
148,Food - Condiments,BBQ Sauces,Sweet and Spicy Barbecue Sauce,9,3.99,9/12/2024
149,Home,Lighting & Lamps,Multicolored LED Strip Lights,6,29.99,9/10/2024
150,Kitchen,Cookware,Collapsible Colander,7,14.99,4/3/2025
151,Food - Snacks,Healthy Snacks,Protein Bar Variety Pack,10,12.99,4/10/2024
152,Outdoor,Outdoor Accessories,Travel Beach Blanket,4,29.99,2/24/2025
153,Food - Seafood,Prepared Seafood,Lemon Garlic Shrimp,10,8.99,11/10/2024
154,Clothing - Shirts,Dress Shirts,Classic Slim Fit Shirt,5,49.99,7/1/2025
155,Fitness,Recovery Tools,Foam Muscle Roller,4,24.99,2/21/2025
156,Kitchen,Drinkware,Travel Mug,4,18.99,3/8/2025
157,Clothing - Activewear,Activewear Bras,Athletic Sports Bra,7,24.99,4/20/2024
158,Food - Frozen Foods,Frozen Vegetables,Roasted Garlic Mashed Potatoes,6,3.99,1/11/2025
159,Pets,Grooming Supplies,Pet Hair Removal Brush,3,14.99,10/22/2023
160,Food - Frozen Foods,Frozen Desserts,Ice Cream,8,5.99,6/5/2025
161,Home,Kitchen Accessories,Adjustable Kitchen Broom Stand,8,14.99,12/18/2024
162,Food - Condiments,Dips & Spreads,French Onion Dip,6,2.99,12/12/2023
163,Food - Frozen Foods,Frozen Snacks,Pepperoni Pizza Roll-Ups,10,5.99,12/5/2023
164,Food - Breakfast,Instant Breakfast,Cranberry Orange Oatmeal,6,2.49,7/3/2024
165,Kitchen,Food Storage Solutions,Snap-On Tupperware Set,8,34.99,1/19/2025
166,Food - Spices,Seasoning Blends,Chili Powder,8,2.09,11/15/2023
167,Health,Fitness & Nutrition,Vegan Protein Powder,4,34.99,8/3/2024
168,Food - Grains,Pasta,Whole Wheat Pasta,4,2.49,1/3/2024
169,Accessories,Tech Accessories,Key Finder,8,19.99,10/20/2024
170,Pets,Pet Safety Gear,Pet Reflective Vest,10,18.99,9/17/2024
171,Clothing - Outerwear,Outerwear,Lightweight Rain Jacket,7,79.99,5/10/2024
172,Food - Baking,Flours & Meals,Chickpea Flour,4,3.29,6/16/2024
173,Food - Baking,Baking Kits,Gingerbread House Kit,7,6.99,7/25/2025
174,Food - Beverages,Juice,Cranberry Orange Juice,6,2.49,5/21/2025
175,Food - Meat,Marinated Poultry,Lemon Dill Chicken Skewers,5,9.99,8/29/2024
176,Pets,Pet Safety Gear,Pet Reflective Vest,10,18.99,12/13/2023
177,Food - Breakfast,Savory Breakfast Options,Savory Oatmeal,6,2.49,7/28/2024
178,Food - Snacks,Nut-Based Snacks,Almond Butter Crunch Bar,8,1.99,7/18/2024
179,Food - Bakery,Pastries,Cinnamon Rolls,9,4.49,3/6/2024
180,Food - Dairy,Cheese,Feta Cheese,3,4.99,12/27/2023
181,Food - Breakfast,Granola & Muesli,Apple Cinnamon Granola,10,4.49,11/1/2024
182,Electronics,Camera Accessories,Smartphone Gimbal,4,89.99,6/30/2025
183,Accessories,Laptop Accessories,Ultra-Thin Laptop Sleeve,6,19.99,3/22/2025
184,Pets,Pet Safety Gear,Dog Car Seat Cover,5,39.99,3/6/2024
185,Pets,Dog Toys,Dog Frisbee Toy,8,10.99,12/20/2024
186,Kitchen,Blenders & Juicers,Personal Blender with Cups,6,34.99,6/14/2024
187,Food - Baking,Baking Ingredients,Pumpkin Pie Spice,9,2.99,7/19/2024
188,Health,Fitness & Nutrition,Smart Scale,5,59.99,5/14/2025
189,Food - Dairy,Dairy Spreads,Sour Cream,4,3.49,2/27/2025
190,Food - Prepared Meals,Meal Kits - Pasta,Fettuccine Alfredo Dinner Kit,3,5.49,1/23/2025
191,Food - Health Foods,Superfoods,Organic Chia Seeds,10,7.99,4/15/2024
192,Food - Vegetables,Vegetables,Balsamic Glazed Brussels Sprouts,3,4.99,6/30/2025
193,Kitchen,Cooking Appliances,Electric Griddle,4,54.99,8/24/2025
194,Fitness,Cardio Equipment,Jump Rope with Counter,8,12.99,3/21/2025
195,Food - Snacks,Dips and Spreads,Spinach Artichoke Dip,7,4.99,1/15/2025
196,Smart Home,Smart Lighting,Smart Light Switch,6,29.99,9/11/2025
197,Health,Massage Therapy,Portable Massage Table,9,199.99,3/2/2024
198,Food - Frozen Foods,Frozen Appetizers,Buffalo Cauliflower Wings,4,6.99,8/19/2025
199,Food - Frozen,Frozen Appetizers,Sweet Corn Fritters,9,4.49,1/30/2024
200,Outdoor,Outdoor Accessories,Travel Beach Blanket,6,29.99,6/1/2024
201,Health,Oral Care & Hygiene,Bamboo Toothbrush,5,5.99,9/24/2025
202,Clothing - Shoes,Casual Footwear,Comfort Flats,7,44.99,5/14/2024
203,Food - Produce,Fresh Cut Fruits,Sliced Avocado,7,2.79,9/27/2024
204,Food - Beverages,Coffee,Cold Brew Coffee Concentrate,4,7.99,1/13/2025
205,Toys,Puzzles,Jigsaw Puzzle,5,14.99,3/29/2025
206,Food - Grains,Legumes,Red Lentils,6,1.99,11/11/2023
207,Electronics,Computer Accessories,Wireless Mouse,5,25.99,8/22/2024
208,Food - Soups,Vegetarian Soups,Carrot Ginger Soup,5,4.29,1/14/2025
209,Art Supplies,Digital Art Supplies,Digital Drawing Tablet,6,79.99,9/15/2025
210,Food - Fruits,Apples,Organic Honeycrisp Apples,10,1.99,7/21/2024
211,Kitchen,Eco-Friendly Kitchen Products,Bamboo Utensil Set,4,14.99,5/6/2025
212,Fitness,Yoga Equipment,Foldable Yoga Mat,4,29.99,4/2/2024
213,Food - Marinades,Marinades,Garlic Herb Marinade,8,3.29,11/14/2024
214,Garden,Garden Tools,Gardening Tools Set,8,45,11/19/2024
215,Kitchen,Cookware,Non-Stick Crepe Pan,4,29.99,12/12/2023
216,Health,Health Devices,Ultraviolet Phone Sanitizer,6,39.99,2/7/2025
217,Outdoor,Grilling Accessories,Portable Charcoal Grill,5,89.99,10/18/2023
218,Food - Desserts,Chocolate Desserts,Dark Chocolate Tart,5,6.29,11/29/2023
219,Automotive,Safety and Emergency Supplies,Car Emergency Kit,5,49.99,7/12/2025
220,Home,Home Organization,Set of Decorative Storage Bins,6,34.99,2/27/2025
221,Food - Dairy,Yogurt,Peach Yogurt,5,1.29,8/13/2024
222,Food - Frozen Foods,Frozen Pizza,Barbecue Chicken Pizza,3,8.99,9/1/2024
223,Accessories,Tech Accessories,Wireless Earbud Silicone Covers,4,9.99,10/13/2024
224,Beauty,Hair Care Tools,Travel Hair Straightener,3,29.99,2/7/2024
225,Home,Bedding & Linens,Luxury Memory Foam Mattress Topper,5,129.99,4/1/2024
226,Food - Snacks,Salsas and Dips,Black Bean Salsa,5,3.49,5/8/2024
227,Clothing - Dresses,Casual Dresses,Summer Tank Dress,6,39.99,1/10/2025
228,Clothing,Accessories,Fashionable Scarves Set,10,24.99,3/5/2024
229,Home,Home Organization,Mesh Laundry Bags Set,9,12.99,7/16/2024
230,Home,Seasonal Home Decor,Fall-Themed Table Runner,10,19.99,7/27/2024
231,Books,Journals,Handmade Leather Journal,5,39.99,10/1/2025
232,Wearable Tech,Fitness Monitors,Fitness Smartwatch,8,99.99,2/25/2024
233,Kitchen,Small Appliances,Electric Fondue Pot,9,39.99,11/20/2023
234,Food - Frozen Foods,Frozen Meals,Coconut Curry Chicken,9,9.99,8/4/2024
235,Food - Salads,Vegetarian Salads,Kale Salad with Lemon Dressing,10,4.99,2/4/2025
236,Outdoor,Camping Equipment,Camping Tarp,7,32.99,8/21/2024
237,Kitchen,Baking Accessories,Set of Silicone Baking Molds,4,15.99,10/17/2023
238,Accessories,Jewelry Storage,Travel Jewelry Case,3,24.99,1/12/2024
239,Food - Dairy,Cheese,Garlic & Herb Goat Cheese,10,5.49,11/10/2024
240,Food - Health/Protein,Protein Supplements,Vanilla Protein Powder,7,24.99,4/5/2024
241,Food - Sides,Grains,Coconut Lime Rice,6,2.99,6/20/2024
242,Food - Beverages,Sparkling Beverages,Cranberry Lime Sparkling Water,9,1.5,6/5/2025
243,Pets,Pet Supplies,Pet Water Fountain,5,39.99,9/15/2024
244,Clothing - Dresses,Evening Wear,Satin Slip Dress,6,59.99,11/23/2023
245,Pets,Pet Supplies,Pet Waterer with Filtration,3,39.99,12/30/2023
246,Food - Condiments,BBQ Sauces,Sweet and Spicy Barbecue Sauce,5,3.99,10/9/2024
247,Toys,Tabletop Games,Board Game,7,34.99,8/13/2025
248,Food - Frozen Foods,Frozen Snacks,Sweet Potato Fries,9,3.99,7/20/2024
249,Food - Oils & Vinegars,Oils,Sesame Oil,8,3.99,1/25/2024
250,Food - Meal Kits,Italian Cuisine Meal Kits,Spaghetti and Meatball Dinner Kit,5,7.99,4/26/2025
251,Food - Baking,Flours & Meals,Chickpea Flour,9,3.29,5/23/2025
252,Food - Deli,Dips/Spreads,Spicy Hummus,3,3.49,6/17/2024
253,Food - Canned Goods,Soups & Broths,Beef Chili,7,4.5,7/7/2024
254,Food - Frozen Foods,Frozen Vegetarian Meals,Cauliflower Gnocchi,10,3.59,5/13/2024
255,Toys,Educational Toys,Puzzle 3D Model Kit,6,22.99,10/1/2024
256,Clothing - Footwear,Casual Footwear,Sporty Slide Sandals,9,24.99,1/4/2024
257,Food - Snacks,Dips and Spreads,Spinach Artichoke Dip,4,4.99,6/1/2024
258,Food - Condiments,Salsas,Spicy Avocado Salsa,6,4.49,6/7/2025
259,Food - Dairy,Dairy Alternatives,Hummus Variety Pack,7,5.99,6/16/2024
260,Food - Condiments,Syrups,Chocolate Syrup,6,2.99,8/1/2024
261,Toys,Educational Toys,Wooden Toy Train Set,8,29.99,12/27/2024
262,Food - Meat & Seafood,Meat Products,Spicy Italian Sausage,9,4.99,12/20/2024
263,Food - Condiments,Dressing,Ranch Dressing,9,2.59,4/8/2024
264,Home,Home Organization,Microfiber Cleaning Cloths,9,9.99,7/22/2024
265,Kitchen,Cutlery,Stainless Steel Cutlery Set,7,29.99,4/16/2025
266,Food - Bakery,Bagels,Cinnamon Raisin Bagels,10,4.19,9/18/2025
267,Food - Confectionery,Cookies & Biscuits,Coconut Macaroons,3,4.99,2/9/2025
268,Food - Fresh Produce,Vegetable Mixes,Vegetable Stir Fry Mix,7,3.29,7/16/2024
269,Audio,Wireless Audio Accessories,Bluetooth Headphones,5,79.99,9/2/2025
270,Food - Meat,Processed Meats,Turkey Bacon,6,3.99,9/5/2024
271,Health,Wellness & Relaxation,Foot Massager Machine,10,59.99,9/4/2024
272,Food - Meat,Marinated Poultry,Lemon Herb Grilled Chicken,9,9.99,12/29/2023
273,Electronics,Mobile Accessories,Wireless Induction Charger,3,19.99,2/6/2024
274,Beauty,Skincare,Skincare Set,6,54.99,7/10/2025
275,Health,Health Devices,Mini Air Purifier,3,49.99,4/21/2025
276,Outdoor,Outdoor Accessories,Telescope,3,159.99,8/21/2025
277,Kitchen,Blenders & Juicers,Hand Mixer,4,29.99,11/8/2023
278,Kitchen,Food Storage Solutions,Eco-Friendly Beeswax Wraps,9,14.99,7/9/2025
279,Food - Condiments,Nut Butters,Peanut Butter,6,3.79,2/3/2025
280,Food - Canned Goods,Soups & Broths,Classic Chicken Noodle Soup,8,3.49,6/5/2025
281,Food - Frozen Foods,Frozen Fruit Smoothies,Nordic Berry Smoothie,3,3.99,3/13/2024
282,Food - Baking Goods,Baking Ingredients,Sweetened Condensed Milk,9,1.89,9/30/2025
283,Food - Grains,Specialty Rice,Sushi Rice,8,3.99,11/3/2023
284,Food - Fresh Produce,Vegetable Mixes,Sliced Bell Peppers,10,3.99,1/5/2024
285,Food - Meat,Poultry,Whole Chicken,8,12.99,10/15/2024
286,Fitness,Wearable Technology,Fitbit Activity Tracker,3,99.99,11/29/2024
287,Food - Frozen Foods,Frozen Vegetables,Frozen Spinach,8,1.99,10/28/2024
288,Food - Baking,Mixes,Chocolate Chip Cookie Mix,6,2.49,9/8/2024
289,Food - Snacks,Nut-Based Snacks,Dark Chocolate Almond Butter Cups,10,4.99,9/25/2025
290,Clothing - Outerwear,Jackets,Luxe Velvet Blazer,5,89.99,10/16/2023
291,Food - Meat & Seafood,Meat Products,Spicy Italian Sausage,8,4.99,4/5/2025
292,Food - Fresh Produce,Vegetables,Organic Baby Carrots,5,2.99,10/15/2024
293,Kitchen,Food Storage Solutions,Reusable Snack Bags,4,14.99,7/8/2024
294,Outdoor,Outdoor Accessories,Shatterproof Wine Glasses,9,24.99,9/3/2025
295,Food - Prepared Foods,International Cuisine,Stuffed Grape Leaves,6,5.79,12/11/2024
296,Kitchen,Cookware,Electric Hot Pot,3,49.99,3/11/2024
297,Food - Condiments,Pesto,Sun-Dried Tomato Pesto,7,4.49,7/21/2025
298,Accessories,Mobile Accessories,Wireless Charging Pad,4,19.99,1/29/2024
299,Food - Prepared Meals,Cuisine - Asian,Teriyaki Chicken Bowl,4,6.49,10/26/2023
300,Food - Baking Goods,Baking Ingredients,Sweetened Condensed Milk,8,1.89,5/5/2024
301,Outdoor,Grilling Accessories,Portable Charcoal Grill,3,89.99,10/31/2024
302,Home,Lighting & Lamps,LED Strip Lights Kit,7,29.99,2/28/2025
303,Food - Condiments,Spicy Sauces,Chipotle Sauce,5,3.29,2/20/2025
304,Pets,Pet Safety Gear,Dog Car Seat Cover,5,39.99,6/29/2025
305,Kitchen,Cookware,Ceramic Non-Stick Frying Pan,4,39.99,10/3/2024
306,Food - Beverages,Herbal Tea,Herbal Tea Variety Pack,7,4.99,6/1/2025
307,Food - Baking,Mixes,Almond Flour Brownies,5,5.99,12/22/2024
308,Home,Bedding & Linens,Memory Foam Pillow,6,39.99,11/8/2024
309,Office,Lighting,Desk Lamp with USB Port,4,29.99,9/22/2025
310,Food - Gourmet Rice,Gourmet Rice,Savory Mushroom Risotto,5,6.49,4/17/2024
311,Food - Oils,Oils,Herb-Infused Olive Oil,7,8.99,5/13/2024
312,Food - Snacks,Salsas and Dips,Black Bean Salsa,3,3.49,9/4/2024
313,Kitchen,Baking Accessories,Silicone Baking Mat Set,4,24.99,7/16/2025
314,Clothing - Bottoms,Bottoms,Cotton Sweatpants,7,29.99,4/7/2024
315,Kitchen,Kitchen Gadgets,Kitchen Knife Sharpening System,8,39.99,7/20/2025
316,Kitchen,Cookware,Ceramic Bakeware Set,10,49.99,2/19/2024
317,Food - Breakfast,Healthy Breakfast Options,Organic Granola,10,5.49,12/4/2023
318,Office,Lighting,LED Desk Lamp with USB Charging Port,5,29.99,2/14/2024
319,Garden,Indoor Gardening Supplies,Plant Growing Kit,10,22.99,11/29/2024
320,Food - Baking,Mixes,Almond Flour Brownies,3,5.99,1/29/2025
321,Photography,Smartphone Accessories,Smartphone Tripod with Bluetooth Remote,4,29.99,7/22/2025
322,Kitchen,Cooking Appliances,Induction Cooktop,8,89.99,5/9/2024
323,Food - Bakery,Gluten-Free Baked Goods,Almond Flour Biscuits,7,6.49,6/22/2024
324,Food - Produce,Fruits,Avocados,5,1.5,12/24/2024
325,Clothing - Tops,Sustainable Fashion,Bamboo Cotton Tank Top,8,22.99,4/14/2025
326,Music,Instruments,Acoustic Guitar,6,199.99,6/7/2025
327,Food - Breakfast,Granola & Muesli,Coconut Almond Granola,3,4.99,7/26/2025
328,Food - Sauces,Pasta Sauces,Lemon Basil Pasta Sauce,6,4.99,4/3/2025
329,Food - Snacks,Healthy Snacks,Peanut Butter Chocolate Chip Bars,3,4.59,11/18/2023
330,Food - Prepared Foods,Dips and Spreads,Creamy Spinach Dip,8,5.99,1/18/2025
